# File: Scout_bld_calibration.csv
# Title: Buildings sector calibration from Scout model
# Units: unitless shares
# Comments: Scout output data processed to compute shares of service/technology within state/sector/fuel
# Source:  LBNL team (Aven Satre-Meloy) provided for DECARB project
# Column types: cccccinn
# ----------
state,sector,fuel,service,technology,year,share,energy
District of Columbia,resid,electricity,furnace fans,electricity,2015,0.0128297,1.679e-4
District of Columbia,resid,electricity,heating,electric furnace,2015,0.1325029,0.0017339
District of Columbia,resid,electricity,heating,electric heat pump,2015,0.0735241,9.621e-4
District of Columbia,resid,electricity,hot water,electric resistance water heater,2015,0.1477607,0.0019335
District of Columbia,resid,electricity,lighting,lighting,2015,0.075827,9.922e-4
District of Columbia,resid,electricity,other,electricity,2015,0.2890445,0.0037823
District of Columbia,resid,electricity,refrigerators,refrigerator,2015,0.0484426,6.339e-4
District of Columbia,resid,gas,clothes dryers,clothes dryer,2015,0.0048352,3.58e-5
District of Columbia,resid,gas,cooking,gas oven,2015,0.0237802,1.762e-4
District of Columbia,resid,gas,cooling,air conditioning,2015,0.0577043,4.277e-4
District of Columbia,resid,gas,heating,gas furnace,2015,0.6005685,0.004451
District of Columbia,resid,gas,hot water,gas water heater,2015,0.2238082,0.0016587
District of Columbia,resid,gas,other,gas,2015,0.0893035,6.618e-4
District of Columbia,resid,refined liquids,cooking,lpg oven,2015,0.0181977,3.86e-5
District of Columbia,resid,refined liquids,heating,fuel furnace,2015,0.7377408,0.0015655
District of Columbia,resid,refined liquids,hot water,fuel water heater,2015,0.1151741,2.444e-4
